Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.468E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.542E+02  1.496E-23  6.118E-14
1.528E+02  1.534E-23  6.214E-14
1.514E+02  1.572E-23  6.312E-14
1.500E+02  1.611E-23  6.410E-14
1.486E+02  1.652E-23  6.510E-14
1.472E+02  1.692E-23  6.609E-14
1.459E+02  1.734E-23  6.708E-14
1.445E+02  1.775E-23  6.806E-14
1.432E+02  1.816E-23  6.900E-14
1.419E+02  1.856E-23  6.988E-14
1.406E+02  1.895E-23  7.068E-14
1.393E+02  1.932E-23  7.139E-14
1.380E+02  1.966E-23  7.200E-14
1.368E+02  1.998E-23  7.250E-14
1.355E+02  2.028E-23  7.291E-14
1.343E+02  2.057E-23  7.326E-14
1.330E+02  2.085E-23  7.357E-14
1.318E+02  2.112E-23  7.385E-14
1.306E+02  2.139E-23  7.413E-14
1.294E+02  2.167E-23  7.440E-14
1.282E+02  2.195E-23  7.467E-14
1.271E+02  2.223E-23  7.494E-14
1.259E+02  2.252E-23  7.521E-14
1.247E+02  2.282E-23  7.549E-14
1.236E+02  2.311E-23  7.578E-14
1.225E+02  2.342E-23  7.606E-14
1.213E+02  2.372E-23  7.635E-14
1.202E+02  2.403E-23  7.663E-14
1.191E+02  2.434E-23  7.691E-14
1.180E+02  2.465E-23  7.719E-14
1.169E+02  2.497E-23  7.745E-14
1.159E+02  2.528E-23  7.770E-14
1.148E+02  2.559E-23  7.794E-14
1.138E+02  2.591E-23  7.817E-14
1.127E+02  2.622E-23  7.840E-14
