Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E+01 = <U> 
     mmp83 = radfield
 4.111E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.436E+02  1.416E-24  1.291E-14
3.404E+02  1.473E-24  1.330E-14
3.373E+02  1.531E-24  1.370E-14
3.342E+02  1.592E-24  1.411E-14
3.311E+02  1.655E-24  1.454E-14
3.281E+02  1.721E-24  1.498E-14
3.251E+02  1.789E-24  1.543E-14
3.221E+02  1.860E-24  1.589E-14
3.192E+02  1.933E-24  1.637E-14
3.162E+02  2.010E-24  1.686E-14
3.133E+02  2.089E-24  1.736E-14
3.105E+02  2.171E-24  1.788E-14
3.076E+02  2.256E-24  1.841E-14
3.048E+02  2.345E-24  1.896E-14
3.020E+02  2.437E-24  1.952E-14
2.992E+02  2.533E-24  2.010E-14
2.965E+02  2.632E-24  2.070E-14
2.938E+02  2.735E-24  2.131E-14
2.911E+02  2.842E-24  2.194E-14
2.884E+02  2.952E-24  2.259E-14
2.858E+02  3.067E-24  2.325E-14
2.831E+02  3.187E-24  2.393E-14
2.805E+02  3.310E-24  2.463E-14
2.780E+02  3.439E-24  2.535E-14
2.754E+02  3.572E-24  2.609E-14
2.729E+02  3.710E-24  2.686E-14
2.704E+02  3.854E-24  2.764E-14
2.679E+02  4.003E-24  2.845E-14
2.655E+02  4.158E-24  2.928E-14
2.630E+02  4.318E-24  3.013E-14
2.606E+02  4.484E-24  3.100E-14
2.582E+02  4.657E-24  3.190E-14
2.559E+02  4.835E-24  3.281E-14
2.535E+02  5.019E-24  3.375E-14
2.512E+02  5.209E-24  3.470E-14
2.489E+02  5.403E-24  3.567E-14
2.466E+02  5.600E-24  3.663E-14
2.443E+02  5.804E-24  3.762E-14
2.421E+02  6.013E-24  3.862E-14
2.399E+02  6.229E-24  3.963E-14
2.377E+02  6.448E-24  4.065E-14
2.355E+02  6.675E-24  4.170E-14
2.333E+02  6.909E-24  4.276E-14
2.312E+02  7.150E-24  4.385E-14
2.291E+02  7.399E-24  4.496E-14
2.270E+02  7.655E-24  4.609E-14
2.249E+02  7.920E-24  4.725E-14
2.228E+02  8.193E-24  4.843E-14
2.208E+02  8.475E-24  4.964E-14
2.188E+02  8.766E-24  5.087E-14
2.168E+02  9.065E-24  5.212E-14
2.148E+02  9.374E-24  5.340E-14
2.128E+02  9.692E-24  5.471E-14
2.109E+02  1.002E-23  5.604E-14
2.089E+02  1.036E-23  5.740E-14
2.070E+02  1.070E-23  5.878E-14
2.051E+02  1.106E-23  6.019E-14
2.032E+02  1.143E-23  6.163E-14
2.014E+02  1.181E-23  6.309E-14
1.995E+02  1.220E-23  6.458E-14
1.977E+02  1.260E-23  6.610E-14
1.959E+02  1.302E-23  6.764E-14
1.941E+02  1.344E-23  6.921E-14
1.923E+02  1.388E-23  7.081E-14
1.905E+02  1.433E-23  7.245E-14
1.888E+02  1.480E-23  7.411E-14
1.871E+02  1.527E-23  7.580E-14
1.854E+02  1.577E-23  7.752E-14
1.837E+02  1.627E-23  7.927E-14
1.820E+02  1.679E-23  8.105E-14
1.803E+02  1.733E-23  8.286E-14
1.786E+02  1.788E-23  8.471E-14
1.770E+02  1.844E-23  8.658E-14
1.754E+02  1.902E-23  8.850E-14
1.738E+02  1.962E-23  9.044E-14
1.722E+02  2.024E-23  9.242E-14
1.706E+02  2.087E-23  9.444E-14
1.690E+02  2.152E-23  9.649E-14
1.675E+02  2.219E-23  9.858E-14
1.660E+02  2.288E-23  1.007E-13
1.644E+02  2.359E-23  1.029E-13
1.629E+02  2.432E-23  1.051E-13
1.614E+02  2.507E-23  1.074E-13
1.600E+02  2.585E-23  1.097E-13
1.585E+02  2.665E-23  1.120E-13
1.570E+02  2.747E-23  1.144E-13
1.556E+02  2.832E-23  1.169E-13
1.542E+02  2.920E-23  1.194E-13
1.528E+02  3.010E-23  1.220E-13
1.514E+02  3.103E-23  1.246E-13
1.500E+02  3.199E-23  1.273E-13
1.486E+02  3.298E-23  1.300E-13
1.472E+02  3.400E-23  1.328E-13
1.459E+02  3.504E-23  1.356E-13
1.445E+02  3.610E-23  1.384E-13
1.432E+02  3.718E-23  1.412E-13
1.419E+02  3.825E-23  1.440E-13
1.406E+02  3.931E-23  1.466E-13
1.393E+02  4.034E-23  1.491E-13
1.380E+02  4.135E-23  1.514E-13
1.368E+02  4.232E-23  1.535E-13
1.355E+02  4.327E-23  1.556E-13
1.343E+02  4.421E-23  1.575E-13
1.330E+02  4.514E-23  1.593E-13
1.318E+02  4.609E-23  1.612E-13
1.306E+02  4.705E-23  1.630E-13
1.294E+02  4.803E-23  1.649E-13
1.282E+02  4.904E-23  1.668E-13
1.271E+02  5.008E-23  1.688E-13
1.259E+02  5.114E-23  1.708E-13
1.247E+02  5.223E-23  1.728E-13
1.236E+02  5.335E-23  1.749E-13
1.225E+02  5.450E-23  1.771E-13
1.213E+02  5.569E-23  1.792E-13
1.202E+02  5.689E-23  1.814E-13
1.191E+02  5.813E-23  1.837E-13
1.180E+02  5.939E-23  1.860E-13
1.169E+02  6.068E-23  1.882E-13
1.159E+02  6.199E-23  1.905E-13
1.148E+02  6.332E-23  1.929E-13
1.138E+02  6.469E-23  1.952E-13
1.127E+02  6.608E-23  1.976E-13
1.117E+02  6.750E-23  2.000E-13
1.107E+02  6.895E-23  2.024E-13
1.096E+02  7.042E-23  2.048E-13
1.086E+02  7.191E-23  2.072E-13
1.076E+02  7.344E-23  2.097E-13
1.067E+02  7.498E-23  2.121E-13
1.057E+02  7.655E-23  2.146E-13
1.047E+02  7.815E-23  2.171E-13
1.038E+02  7.977E-23  2.195E-13
1.028E+02  8.140E-23  2.220E-13
1.019E+02  8.306E-23  2.244E-13
1.009E+02  8.474E-23  2.269E-13
1.000E+02  8.644E-23  2.293E-13
9.908E+01  8.816E-23  2.317E-13
9.817E+01  8.990E-23  2.341E-13
9.727E+01  9.166E-23  2.365E-13
9.638E+01  9.344E-23  2.389E-13
9.550E+01  9.523E-23  2.412E-13
9.462E+01  9.704E-23  2.436E-13
9.376E+01  9.887E-23  2.459E-13
9.290E+01  1.007E-22  2.482E-13
9.204E+01  1.026E-22  2.504E-13
9.120E+01  1.045E-22  2.527E-13
9.036E+01  1.063E-22  2.549E-13
8.954E+01  1.083E-22  2.571E-13
8.872E+01  1.102E-22  2.593E-13
8.790E+01  1.121E-22  2.615E-13
8.710E+01  1.141E-22  2.636E-13
8.630E+01  1.161E-22  2.657E-13
8.551E+01  1.181E-22  2.678E-13
8.472E+01  1.201E-22  2.699E-13
8.395E+01  1.221E-22  2.719E-13
8.318E+01  1.241E-22  2.739E-13
8.241E+01  1.262E-22  2.758E-13
8.166E+01  1.282E-22  2.778E-13
8.091E+01  1.303E-22  2.797E-13
8.017E+01  1.324E-22  2.816E-13
