Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.115E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.959E+02  1.270E-23  6.601E-14
1.941E+02  1.312E-23  6.753E-14
1.923E+02  1.354E-23  6.909E-14
1.905E+02  1.398E-23  7.067E-14
1.888E+02  1.443E-23  7.227E-14
1.871E+02  1.489E-23  7.391E-14
1.854E+02  1.537E-23  7.557E-14
1.837E+02  1.586E-23  7.727E-14
1.820E+02  1.636E-23  7.899E-14
1.803E+02  1.688E-23  8.074E-14
1.786E+02  1.742E-23  8.253E-14
1.770E+02  1.796E-23  8.434E-14
1.754E+02  1.853E-23  8.619E-14
1.738E+02  1.911E-23  8.807E-14
1.722E+02  1.970E-23  8.999E-14
1.706E+02  2.031E-23  9.193E-14
1.690E+02  2.094E-23  9.392E-14
1.675E+02  2.159E-23  9.594E-14
1.660E+02  2.226E-23  9.800E-14
1.644E+02  2.295E-23  1.001E-13
1.629E+02  2.366E-23  1.022E-13
1.614E+02  2.439E-23  1.044E-13
1.600E+02  2.514E-23  1.067E-13
1.585E+02  2.591E-23  1.089E-13
1.570E+02  2.671E-23  1.113E-13
1.556E+02  2.753E-23  1.136E-13
1.542E+02  2.838E-23  1.161E-13
1.528E+02  2.926E-23  1.186E-13
1.514E+02  3.016E-23  1.211E-13
1.500E+02  3.110E-23  1.237E-13
1.486E+02  3.206E-23  1.264E-13
1.472E+02  3.305E-23  1.291E-13
1.459E+02  3.406E-23  1.318E-13
1.445E+02  3.508E-23  1.345E-13
1.432E+02  3.612E-23  1.372E-13
1.419E+02  3.716E-23  1.399E-13
1.406E+02  3.818E-23  1.424E-13
1.393E+02  3.918E-23  1.448E-13
1.380E+02  4.014E-23  1.470E-13
1.368E+02  4.108E-23  1.490E-13
1.355E+02  4.199E-23  1.509E-13
1.343E+02  4.288E-23  1.527E-13
1.330E+02  4.378E-23  1.545E-13
1.318E+02  4.468E-23  1.562E-13
1.306E+02  4.559E-23  1.580E-13
1.294E+02  4.653E-23  1.597E-13
1.282E+02  4.749E-23  1.615E-13
1.271E+02  4.847E-23  1.634E-13
1.259E+02  4.948E-23  1.652E-13
1.247E+02  5.052E-23  1.672E-13
1.236E+02  5.158E-23  1.691E-13
