Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         2 = grain model
 4.000E-08 4.000E-01 7.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.426E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
5.808E+02  1.104E-25  1.700E-15
5.754E+02  1.147E-25  1.751E-15
5.702E+02  1.192E-25  1.803E-15
5.649E+02  1.240E-25  1.857E-15
5.598E+02  1.288E-25  1.913E-15
5.546E+02  1.339E-25  1.970E-15
5.495E+02  1.392E-25  2.029E-15
5.445E+02  1.447E-25  2.090E-15
5.395E+02  1.504E-25  2.152E-15
5.346E+02  1.563E-25  2.216E-15
5.297E+02  1.625E-25  2.283E-15
5.248E+02  1.689E-25  2.351E-15
5.200E+02  1.755E-25  2.421E-15
5.152E+02  1.824E-25  2.493E-15
5.105E+02  1.896E-25  2.567E-15
5.058E+02  1.970E-25  2.644E-15
5.012E+02  2.048E-25  2.722E-15
4.966E+02  2.128E-25  2.803E-15
4.920E+02  2.211E-25  2.886E-15
4.875E+02  2.298E-25  2.972E-15
4.831E+02  2.388E-25  3.060E-15
4.786E+02  2.482E-25  3.151E-15
4.742E+02  2.579E-25  3.244E-15
4.699E+02  2.680E-25  3.340E-15
4.656E+02  2.784E-25  3.439E-15
4.613E+02  2.893E-25  3.540E-15
4.571E+02  3.006E-25  3.645E-15
4.529E+02  3.123E-25  3.752E-15
4.487E+02  3.245E-25  3.863E-15
4.446E+02  3.371E-25  3.976E-15
4.406E+02  3.502E-25  4.093E-15
4.365E+02  3.639E-25  4.213E-15
4.325E+02  3.780E-25  4.337E-15
4.285E+02  3.927E-25  4.464E-15
4.246E+02  4.079E-25  4.594E-15
4.207E+02  4.237E-25  4.728E-15
4.169E+02  4.401E-25  4.866E-15
4.130E+02  4.571E-25  5.008E-15
4.093E+02  4.748E-25  5.154E-15
4.055E+02  4.931E-25  5.304E-15
4.018E+02  5.121E-25  5.458E-15
3.981E+02  5.319E-25  5.616E-15
3.945E+02  5.523E-25  5.779E-15
3.908E+02  5.736E-25  5.947E-15
3.873E+02  5.957E-25  6.119E-15
3.837E+02  6.185E-25  6.295E-15
3.802E+02  6.422E-25  6.477E-15
3.767E+02  6.669E-25  6.663E-15
3.733E+02  6.924E-25  6.855E-15
3.698E+02  7.188E-25  7.052E-15
3.664E+02  7.463E-25  7.254E-15
3.631E+02  7.747E-25  7.461E-15
3.597E+02  8.042E-25  7.674E-15
3.565E+02  8.348E-25  7.893E-15
3.532E+02  8.665E-25  8.117E-15
3.499E+02  8.993E-25  8.348E-15
3.467E+02  9.334E-25  8.584E-15
3.436E+02  9.686E-25  8.827E-15
3.404E+02  1.005E-24  9.076E-15
3.373E+02  1.043E-24  9.332E-15
3.342E+02  1.082E-24  9.594E-15
3.311E+02  1.123E-24  9.863E-15
3.281E+02  1.165E-24  1.014E-14
3.251E+02  1.209E-24  1.042E-14
3.221E+02  1.254E-24  1.071E-14
3.192E+02  1.300E-24  1.101E-14
3.162E+02  1.349E-24  1.131E-14
3.133E+02  1.399E-24  1.163E-14
3.105E+02  1.451E-24  1.195E-14
3.076E+02  1.504E-24  1.228E-14
3.048E+02  1.560E-24  1.261E-14
3.020E+02  1.617E-24  1.296E-14
2.992E+02  1.677E-24  1.331E-14
2.965E+02  1.738E-24  1.367E-14
2.938E+02  1.802E-24  1.404E-14
2.911E+02  1.868E-24  1.442E-14
2.884E+02  1.936E-24  1.481E-14
2.858E+02  2.006E-24  1.521E-14
2.831E+02  2.079E-24  1.561E-14
2.805E+02  2.154E-24  1.603E-14
2.780E+02  2.232E-24  1.645E-14
2.754E+02  2.312E-24  1.689E-14
2.729E+02  2.395E-24  1.734E-14
2.704E+02  2.481E-24  1.779E-14
2.679E+02  2.570E-24  1.826E-14
2.655E+02  2.662E-24  1.874E-14
2.630E+02  2.756E-24  1.923E-14
2.606E+02  2.854E-24  1.973E-14
2.582E+02  2.956E-24  2.024E-14
2.559E+02  3.060E-24  2.076E-14
2.535E+02  3.166E-24  2.129E-14
2.512E+02  3.276E-24  2.183E-14
2.489E+02  3.388E-24  2.237E-14
2.466E+02  3.501E-24  2.290E-14
2.443E+02  3.617E-24  2.344E-14
2.421E+02  3.736E-24  2.399E-14
2.399E+02  3.857E-24  2.454E-14
2.377E+02  3.980E-24  2.509E-14
2.355E+02  4.107E-24  2.565E-14
2.333E+02  4.236E-24  2.622E-14
2.312E+02  4.369E-24  2.680E-14
2.291E+02  4.506E-24  2.738E-14
2.270E+02  4.646E-24  2.798E-14
2.249E+02  4.790E-24  2.858E-14
2.228E+02  4.938E-24  2.919E-14
2.208E+02  5.090E-24  2.981E-14
2.188E+02  5.245E-24  3.044E-14
2.168E+02  5.405E-24  3.108E-14
2.148E+02  5.568E-24  3.172E-14
2.128E+02  5.735E-24  3.238E-14
2.109E+02  5.906E-24  3.304E-14
2.089E+02  6.082E-24  3.371E-14
2.070E+02  6.262E-24  3.438E-14
2.051E+02  6.445E-24  3.507E-14
2.032E+02  6.634E-24  3.576E-14
2.014E+02  6.826E-24  3.646E-14
1.995E+02  7.023E-24  3.717E-14
1.977E+02  7.224E-24  3.789E-14
1.959E+02  7.430E-24  3.861E-14
1.941E+02  7.641E-24  3.934E-14
1.923E+02  7.856E-24  4.007E-14
1.905E+02  8.076E-24  4.082E-14
1.888E+02  8.300E-24  4.157E-14
1.871E+02  8.530E-24  4.233E-14
1.854E+02  8.764E-24  4.309E-14
1.837E+02  9.004E-24  4.386E-14
1.820E+02  9.248E-24  4.464E-14
1.803E+02  9.497E-24  4.542E-14
1.786E+02  9.752E-24  4.621E-14
1.770E+02  1.001E-23  4.701E-14
1.754E+02  1.028E-23  4.782E-14
1.738E+02  1.055E-23  4.863E-14
1.722E+02  1.083E-23  4.944E-14
1.706E+02  1.111E-23  5.027E-14
1.690E+02  1.140E-23  5.110E-14
1.675E+02  1.169E-23  5.194E-14
1.660E+02  1.199E-23  5.278E-14
1.644E+02  1.230E-23  5.364E-14
1.629E+02  1.261E-23  5.450E-14
1.614E+02  1.293E-23  5.537E-14
1.600E+02  1.326E-23  5.625E-14
1.585E+02  1.359E-23  5.714E-14
1.570E+02  1.393E-23  5.804E-14
1.556E+02  1.428E-23  5.895E-14
1.542E+02  1.464E-23  5.988E-14
1.528E+02  1.501E-23  6.081E-14
1.514E+02  1.538E-23  6.176E-14
1.500E+02  1.576E-23  6.271E-14
1.486E+02  1.616E-23  6.368E-14
1.472E+02  1.655E-23  6.464E-14
1.459E+02  1.695E-23  6.560E-14
1.445E+02  1.736E-23  6.655E-14
1.432E+02  1.776E-23  6.745E-14
1.419E+02  1.815E-23  6.831E-14
1.406E+02  1.852E-23  6.909E-14
1.393E+02  1.888E-23  6.977E-14
1.380E+02  1.921E-23  7.035E-14
1.368E+02  1.952E-23  7.083E-14
1.355E+02  1.981E-23  7.122E-14
1.343E+02  2.009E-23  7.156E-14
1.330E+02  2.036E-23  7.185E-14
1.318E+02  2.062E-23  7.211E-14
1.306E+02  2.089E-23  7.236E-14
1.294E+02  2.115E-23  7.262E-14
1.282E+02  2.142E-23  7.287E-14
1.271E+02  2.169E-23  7.312E-14
1.259E+02  2.197E-23  7.337E-14
1.247E+02  2.225E-23  7.363E-14
1.236E+02  2.254E-23  7.390E-14
1.225E+02  2.283E-23  7.416E-14
1.213E+02  2.312E-23  7.443E-14
1.202E+02  2.342E-23  7.469E-14
1.191E+02  2.372E-23  7.495E-14
1.180E+02  2.402E-23  7.520E-14
1.169E+02  2.432E-23  7.544E-14
1.159E+02  2.462E-23  7.566E-14
1.148E+02  2.492E-23  7.588E-14
1.138E+02  2.522E-23  7.609E-14
1.127E+02  2.552E-23  7.629E-14
1.117E+02  2.582E-23  7.648E-14
1.107E+02  2.612E-23  7.666E-14
1.096E+02  2.641E-23  7.682E-14
1.086E+02  2.671E-23  7.697E-14
1.076E+02  2.700E-23  7.710E-14
1.067E+02  2.729E-23  7.722E-14
1.057E+02  2.758E-23  7.732E-14
1.047E+02  2.786E-23  7.739E-14
1.038E+02  2.814E-23  7.746E-14
1.028E+02  2.842E-23  7.749E-14
1.019E+02  2.869E-23  7.751E-14
1.009E+02  2.895E-23  7.750E-14
1.000E+02  2.921E-23  7.747E-14
9.908E+01  2.945E-23  7.741E-14
9.817E+01  2.970E-23  7.734E-14
9.727E+01  2.993E-23  7.724E-14
9.638E+01  3.016E-23  7.711E-14
9.550E+01  3.038E-23  7.696E-14
9.462E+01  3.059E-23  7.679E-14
9.376E+01  3.080E-23  7.659E-14
9.290E+01  3.099E-23  7.636E-14
9.204E+01  3.118E-23  7.612E-14
9.120E+01  3.135E-23  7.584E-14
9.036E+01  3.152E-23  7.554E-14
8.954E+01  3.167E-23  7.522E-14
8.872E+01  3.182E-23  7.488E-14
8.790E+01  3.196E-23  7.452E-14
8.710E+01  3.209E-23  7.413E-14
8.630E+01  3.221E-23  7.372E-14
8.551E+01  3.231E-23  7.329E-14
8.472E+01  3.241E-23  7.283E-14
8.395E+01  3.250E-23  7.236E-14
8.318E+01  3.257E-23  7.186E-14
8.241E+01  3.264E-23  7.134E-14
8.166E+01  3.269E-23  7.081E-14
8.091E+01  3.273E-23  7.025E-14
8.017E+01  3.276E-23  6.967E-14
7.943E+01  3.278E-23  6.908E-14
7.870E+01  3.279E-23  6.846E-14
7.798E+01  3.279E-23  6.782E-14
7.727E+01  3.277E-23  6.716E-14
7.656E+01  3.274E-23  6.649E-14
7.586E+01  3.270E-23  6.580E-14
7.516E+01  3.265E-23  6.509E-14
7.447E+01  3.258E-23  6.437E-14
