Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.137E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.306E+03  4.447E-27  1.541E-16
1.294E+03  4.630E-27  1.589E-16
1.282E+03  4.819E-27  1.639E-16
1.271E+03  5.017E-27  1.691E-16
1.259E+03  5.223E-27  1.744E-16
1.247E+03  5.437E-27  1.799E-16
1.236E+03  5.660E-27  1.856E-16
1.225E+03  5.892E-27  1.914E-16
1.213E+03  6.134E-27  1.974E-16
1.202E+03  6.385E-27  2.036E-16
1.191E+03  6.647E-27  2.100E-16
1.180E+03  6.920E-27  2.167E-16
1.169E+03  7.204E-27  2.235E-16
1.159E+03  7.499E-27  2.305E-16
1.148E+03  7.807E-27  2.378E-16
1.138E+03  8.127E-27  2.452E-16
1.127E+03  8.460E-27  2.530E-16
1.117E+03  8.807E-27  2.609E-16
1.107E+03  9.168E-27  2.691E-16
1.096E+03  9.544E-27  2.776E-16
1.086E+03  9.935E-27  2.863E-16
1.076E+03  1.034E-26  2.953E-16
1.067E+03  1.077E-26  3.046E-16
1.057E+03  1.121E-26  3.142E-16
1.047E+03  1.167E-26  3.240E-16
1.038E+03  1.214E-26  3.342E-16
1.028E+03  1.264E-26  3.447E-16
1.019E+03  1.316E-26  3.555E-16
1.009E+03  1.370E-26  3.667E-16
1.000E+03  1.426E-26  3.782E-16
9.908E+02  1.484E-26  3.900E-16
9.817E+02  1.545E-26  4.023E-16
9.727E+02  1.608E-26  4.149E-16
9.638E+02  1.674E-26  4.279E-16
9.550E+02  1.742E-26  4.414E-16
9.462E+02  1.814E-26  4.552E-16
9.376E+02  1.888E-26  4.695E-16
9.290E+02  1.965E-26  4.842E-16
9.204E+02  2.045E-26  4.994E-16
9.120E+02  2.129E-26  5.150E-16
9.036E+02  2.216E-26  5.311E-16
8.954E+02  2.306E-26  5.477E-16
8.872E+02  2.400E-26  5.648E-16
8.790E+02  2.498E-26  5.825E-16
8.710E+02  2.600E-26  6.007E-16
8.630E+02  2.706E-26  6.194E-16
8.551E+02  2.816E-26  6.387E-16
8.472E+02  2.930E-26  6.586E-16
8.395E+02  3.050E-26  6.791E-16
8.318E+02  3.173E-26  7.002E-16
8.241E+02  3.302E-26  7.219E-16
8.166E+02  3.436E-26  7.443E-16
8.091E+02  3.576E-26  7.674E-16
8.017E+02  3.721E-26  7.912E-16
7.943E+02  3.871E-26  8.157E-16
7.870E+02  4.028E-26  8.409E-16
7.798E+02  4.191E-26  8.669E-16
7.727E+02  4.361E-26  8.937E-16
7.656E+02  4.537E-26  9.213E-16
7.586E+02  4.720E-26  9.498E-16
7.516E+02  4.911E-26  9.791E-16
7.447E+02  5.109E-26  1.009E-15
7.379E+02  5.316E-26  1.041E-15
7.311E+02  5.531E-26  1.073E-15
7.244E+02  5.755E-26  1.106E-15
7.178E+02  5.988E-26  1.140E-15
7.112E+02  6.230E-26  1.175E-15
7.047E+02  6.482E-26  1.212E-15
6.982E+02  6.744E-26  1.249E-15
6.918E+02  7.017E-26  1.288E-15
6.855E+02  7.300E-26  1.327E-15
6.792E+02  7.595E-26  1.368E-15
