Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.075E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.905E+02  1.393E-23  7.040E-14
1.888E+02  1.438E-23  7.200E-14
1.871E+02  1.484E-23  7.363E-14
1.854E+02  1.531E-23  7.528E-14
1.837E+02  1.580E-23  7.697E-14
1.820E+02  1.630E-23  7.868E-14
1.803E+02  1.681E-23  8.042E-14
1.786E+02  1.734E-23  8.219E-14
1.770E+02  1.789E-23  8.400E-14
1.754E+02  1.845E-23  8.583E-14
1.738E+02  1.902E-23  8.770E-14
1.722E+02  1.962E-23  8.960E-14
1.706E+02  2.023E-23  9.153E-14
1.690E+02  2.085E-23  9.350E-14
1.675E+02  2.150E-23  9.550E-14
1.660E+02  2.216E-23  9.754E-14
1.644E+02  2.284E-23  9.962E-14
1.629E+02  2.354E-23  1.017E-13
1.614E+02  2.426E-23  1.039E-13
1.600E+02  2.501E-23  1.061E-13
1.585E+02  2.578E-23  1.084E-13
1.570E+02  2.657E-23  1.107E-13
1.556E+02  2.738E-23  1.130E-13
1.542E+02  2.822E-23  1.154E-13
1.528E+02  2.909E-23  1.179E-13
1.514E+02  2.998E-23  1.204E-13
1.500E+02  3.091E-23  1.229E-13
1.486E+02  3.185E-23  1.256E-13
1.472E+02  3.283E-23  1.282E-13
1.459E+02  3.383E-23  1.309E-13
1.445E+02  3.484E-23  1.336E-13
1.432E+02  3.587E-23  1.363E-13
1.419E+02  3.689E-23  1.389E-13
1.406E+02  3.790E-23  1.413E-13
1.393E+02  3.888E-23  1.437E-13
1.380E+02  3.984E-23  1.459E-13
1.368E+02  4.076E-23  1.479E-13
